DateKey,TimeKey,WeatherStationID,PrecipQuantity,TempAvg,TempMax,TempMin,TempGrassPt100Avg,TempSoilAvg,TempSoilAvg5cm,TempSoilAvg10cm,TempSoilAvg20cm,TempSoilAvg50cm,WindSpeed10m,WindSpeedAvg30m,WindGustsSpeed,HumidityRelShelterAvg,Pressure,SunDuration,ShortWaveFromSkyAvg,SunIntAvg
20250307,000000,6472,0.0,10.68,16.19,6.45,10.34,10.33,7.07,6.55,6.24,5.69,4.18,5.64,10.81,48.4,981.97,629.42,165.2,345.52
20250307,000000,6434,0.0,11.53,17.75,7.3,8.09,10.12,8.48,7.97,7.46,6.6,2.95,4.1,10.01,58.6,1013.97,634.33,152.29,311.15
20250307,000000,6464,0.0,10.06,18.0,3.81,6.99,9.48,8.41,8.08,7.55,7.16,2.15,,6.84,65.77,1014.04,638.5,158.65,295.27
20250307,000000,6438,0.0,10.33,17.95,4.44,7.68,9.88,9.01,8.37,7.15,6.88,2.43,,9.49,65.23,1015.73,634.75,146.5,272.8
20250307,000000,6439,0.0,10.93,18.39,4.54,7.17,,8.21,7.92,7.28,6.58,2.24,,7.28,62.53,1015.2,641.58,153.2,278.26
20250307,000000,6447,0.0,12.07,18.26,7.93,9.99,10.15,8.35,7.98,7.43,6.73,,4.23,9.97,54.1,1003.88,557.58,147.5,295.55
20250307,000000,6459,0.0,10.74,17.41,5.33,8.6,,7.16,6.8,6.45,6.07,3.44,,10.36,53.54,997.52,645.08,165.38,294.19
20250307,000000,6455,0.03,12.2,17.01,7.57,10.46,12.2,8.57,7.96,7.38,6.47,3.49,,13.19,46.16,987.68,596.17,161.45,344.36
20250307,000000,6494,0.0,8.16,14.72,2.21,4.84,5.89,5.24,4.89,4.55,4.29,3.12,,8.64,55.98,938.93,586.67,162.37,281.77
20250307,000000,6414,0.0,10.68,17.37,5.02,6.6,8.89,8.21,7.91,5.27,6.66,2.72,,8.79,65.73,1012.17,632.92,153.53,303.67
20250307,000000,6484,0.0,7.74,16.18,-0.56,15.11,7.95,6.25,5.36,5.71,5.23,2.47,,8.78,67.7,979.22,622.33,162.79,229.54
20250307,000000,6418,0.0,11.59,15.68,8.41,,,,,,,5.04,,9.87,57.97,1013.49,631.42,,287.48
20250307,000000,6477,0.0,9.61,18.33,1.02,6.88,9.29,7.91,7.47,5.66,6.81,2.2,,9.6,65.9,1012.24,624.83,161.55,283.95
20250308,000000,6434,0.0,11.89,19.17,4.46,8.13,10.15,8.45,8.06,7.73,7.09,2.63,3.97,8.85,55.59,1009.22,637.67,155.64,307.96
20250308,000000,6477,0.0,9.77,19.51,0.8,7.29,9.91,8.48,8.01,6.09,7.16,1.46,,6.58,65.39,1007.27,637.25,163.77,290.84
20250308,000000,6494,0.0,10.27,15.26,5.29,6.1,7.11,5.87,5.38,4.92,4.5,3.7,,9.32,43.39,934.05,601.0,169.58,304.8
20250308,000000,6418,0.0,11.97,17.18,7.14,,,,,,,5.1,,10.06,54.32,1009.19,622.17,,276.33
20250308,000000,6438,0.0,10.84,19.31,2.79,7.31,10.07,9.24,8.62,7.48,7.35,2.09,,7.33,58.99,1011.31,616.67,147.08,257.54
20250308,000000,6439,0.0,10.25,19.47,1.6,7.13,,8.45,8.23,7.7,6.97,1.88,,9.14,66.11,1010.6,625.33,151.87,260.56
20250308,000000,6447,0.0,12.59,19.68,6.59,8.67,9.96,8.57,8.28,7.83,7.14,,4.04,8.72,51.69,998.98,558.25,148.14,290.22
20250308,000000,6459,0.0,10.32,18.5,3.58,8.36,,7.33,6.96,6.74,6.39,2.76,,7.55,57.77,992.51,634.83,166.56,290.72
20250308,000000,6414,0.0,11.99,18.92,4.89,6.9,9.27,8.51,8.21,5.5,7.08,2.69,,9.02,58.5,1007.28,623.33,155.16,299.91
20250308,000000,6464,0.0,9.62,19.07,0.85,7.54,9.86,8.66,8.39,7.95,7.53,1.67,,6.95,67.48,1009.44,602.75,160.55,287.06
20250308,000000,6472,0.0,10.53,16.93,5.85,10.21,9.99,7.19,6.77,6.57,6.06,3.58,4.61,8.87,50.45,976.63,639.17,160.87,323.58
20250308,000000,6455,0.0,11.63,18.61,2.69,9.47,12.37,8.96,8.46,7.96,6.96,2.36,,9.19,50.14,982.3,611.42,159.1,343.86
20250308,000000,6484,0.0,8.24,16.62,-0.05,15.43,8.21,6.6,5.7,6.06,5.52,2.57,,7.79,66.38,973.53,618.58,162.48,218.99
20250309,000000,6434,0.0,10.86,19.39,4.23,8.64,10.43,8.94,8.47,8.09,7.4,1.89,3.1,5.65,60.8,1002.55,614.75,153.09,290.58
20250309,000000,6439,0.0,11.0,20.04,2.33,8.01,,9.15,8.79,8.08,7.24,1.76,,6.11,62.39,1003.66,635.5,155.2,267.13
20250309,000000,6455,0.0,11.35,19.68,3.64,8.96,12.14,9.28,8.85,8.43,7.37,1.52,,6.6,53.35,975.54,479.42,124.14,200.1
20250309,000000,6477,0.0,9.75,19.78,0.48,7.72,10.33,8.93,8.44,6.48,7.5,1.07,,5.13,66.16,1000.22,618.5,157.79,270.18
20250309,000000,6484,0.0,10.59,18.41,2.5,18.27,9.52,7.8,6.58,6.71,5.82,2.24,,5.56,58.18,966.45,255.17,124.22,81.35
20250309,000000,6494,0.0,10.93,17.5,5.71,6.79,8.36,6.96,6.23,5.47,4.71,2.62,,6.25,42.95,927.36,605.0,167.06,292.74
20250309,000000,6414,0.0,11.25,18.79,4.96,7.0,10.16,9.48,9.05,6.08,7.42,1.86,,5.42,65.96,1000.96,594.33,155.66,277.68
20250309,000000,6447,0.0,12.46,19.67,5.75,9.17,10.43,9.03,8.67,8.18,7.45,,3.09,6.82,53.16,992.15,558.75,144.18,270.98
20250309,000000,6464,0.0,9.97,19.59,1.08,8.15,10.34,9.06,8.73,8.23,7.79,1.52,,5.55,66.68,1002.45,636.67,161.38,284.07
20250309,000000,6472,0.0,11.84,19.33,6.6,10.92,11.05,8.22,7.59,7.16,6.36,2.53,3.26,5.4,47.23,969.75,592.5,139.19,218.55
20250309,000000,6459,0.0,10.41,18.12,2.36,9.52,,8.08,7.56,7.16,6.66,2.42,,5.29,60.6,985.65,618.58,153.35,250.02
20250309,000000,6438,0.0,11.16,19.74,2.86,7.91,11.06,9.98,9.2,7.88,7.63,1.81,,5.47,60.41,1004.43,632.75,148.17,260.51
20250309,000000,6418,0.0,11.26,16.34,8.19,,,,,,,3.37,,7.13,58.91,1002.86,631.67,,239.95
20250310,000000,6418,0.0,8.75,12.26,7.27,,,,,,,4.32,,9.08,77.66,1001.18,389.5,,160.94
20250310,000000,6447,0.0,10.61,16.43,5.86,7.46,8.31,8.18,8.21,8.17,7.75,,1.96,5.86,65.95,989.78,78.42,68.18,31.95
20250310,000000,6494,0.0,9.52,15.34,4.43,6.31,7.48,6.61,6.18,5.72,4.98,2.16,,6.12,54.23,924.13,430.08,131.79,153.11
20250310,000000,6438,0.0,11.17,18.3,3.98,7.98,11.3,10.45,9.8,8.56,8.08,1.81,,5.01,60.63,1001.83,530.08,131.5,179.16
20250310,000000,6439,0.0,10.84,18.1,4.22,8.52,,9.57,9.34,8.74,7.66,1.51,,4.54,64.97,1000.99,379.75,118.45,146.53
20250310,000000,6455,0.03,8.78,14.75,2.46,7.7,9.98,8.71,8.56,8.39,7.67,1.49,,6.45,78.85,973.49,185.17,85.24,52.26
20250310,000000,6484,1.04,8.28,11.95,2.58,16.63,7.74,7.37,6.59,7.05,6.23,2.29,,7.73,81.13,964.28,12.17,71.03,8.03
20250310,000000,6414,0.0,9.98,16.75,4.38,7.33,9.1,9.08,8.92,6.43,7.84,1.85,,5.53,73.67,999.17,383.58,104.79,107.96
20250310,000000,6472,0.0,9.04,13.87,3.73,8.48,8.58,7.4,7.12,7.23,6.76,2.38,3.01,7.52,65.15,967.25,93.67,86.71,30.42
20250310,000000,6434,0.0,10.13,18.26,3.36,8.96,9.63,8.89,8.65,8.44,7.74,1.55,2.5,4.6,68.65,1000.38,253.67,104.55,96.05
20250310,000000,6459,0.03,9.13,14.75,3.51,7.79,,7.53,7.4,7.41,6.99,1.96,,5.51,72.05,983.15,134.25,75.85,32.77
20250310,000000,6464,0.0,9.31,18.33,2.33,7.63,10.4,9.46,9.2,8.73,8.1,1.05,,4.09,69.44,999.46,571.75,155.36,255.9
