DateKey;ContractKey;SingleMeterFixed;DualMeterDayFixed;DualMeterNightFixed;ExclusiveNightMeterFixed;SingleMeterVariableMeterFactor;SingleMeterVariableBalancingCost;DualMeterDayVariableMeterFactor;DualMeterDayVariableBalancingCost;DualMeterNightVariableMeterFactor;DualMeterNightVariableBalancingCost;ExclusiveNightMeterVariableMeterFactor;ExclusiveNightMeterVariableBalancingCost;DynamicMeterCost;DynamicBalancingCost;SingleMeterInjectionMeterFactor;SingleMeterInjectionBalancingCost;DualMeterDayInjectionMeterFactor;DualMeterDayInjectionBalancingCost;DualMeterNightInjectionMeterFactor;DualMeterNightInjectionBalancingCost;AdministrativeCosts;GreenElectricity;WKK
20230101;DATS24_ELEKTRICITEIT;32.48;38.49;29.50;29.50;0.1084;0.697;0.1289;0.697;0.0982;0.697;0.0982;0.697;;;0.073;0.38;0.073;0.38;0.073;0.38;38.50;2.210;0.357
20230201;DATS24_ELEKTRICITEIT;16.80;19.83;15.30;15.30;0.1117;0.807;0.1329;0.807;0.1012;0.807;0.1012;0.807;;;0.073;0.38;0.073;0.38;0.073;0.38;38.50;2.233;0.356
20230301;DATS24_ELEKTRICITEIT;18.31;21.60;16.67;16.67;0.1127;0.837;0.134;0.837;0.1021;0.837;0.1021;0.837;;;0.073;0.38;0.073;0.38;0.073;0.38;38.50;1.870;0.356
20230401;DATS24_ELEKTRICITEIT;14.50;17.08;13.23;13.23;0.1139;0.857;0.1355;0.857;0.1032;0.857;0.1032;0.857;;;0.073;0.38;0.073;0.38;0.073;0.38;38.50;1.870;0.356
20230501;DATS24_ELEKTRICITEIT;13.81;16.26;12.60;12.60;0.1139;0.857;0.1355;0.857;0.1032;0.857;0.1032;0.857;;;0.073;0.38;0.073;0.38;0.073;0.38;38.50;1.870;0.356
20230601;DATS24_ELEKTRICITEIT;10.89;12.74;9.98;9.98;0.1144;1.057;0.1361;1.057;0.1037;1.057;0.1037;1.057;;;0.073;0.38;0.073;0.38;0.073;0.38;38.50;1.870;0.356
20230701;DATS24_ELEKTRICITEIT;12.54;14.68;11.48;11.48;0.1144;1.157;0.1361;1.157;0.1037;1.157;0.1037;1.157;;;0.073;0.38;0.073;0.38;0.073;0.38;38.50;1.870;0.356
20230901;DATS24_ELEKTRICITEIT;12.43;14.56;11.38;11.38;0.1137;1.143;0.1352;1.143;0.1030;1.143;0.1030;1.143;;;0.073;0.38;0.073;0.38;0.073;0.38;38.50;1.870;0.356
20231001;DATS24_ELEKTRICITEIT;12.74;14.14;11.74;11.74;0.1134;0.997;0.1270;0.997;0.1037;0.997;0.1037;0.997;;;0.073;0.38;0.073;0.38;0.073;0.38;38.50;1.870;0.356
20231101;DATS24_ELEKTRICITEIT;11.93;13.23;11.00;11.00;0.1134;0.997;0.1270;0.997;0.1037;0.997;0.1037;0.997;;;0.073;0.38;0.073;0.38;0.073;0.38;38.50;1.870;0.356
