DateKey,ContractKey,SingleMeterFixed,DualMeterDayFixed,DualMeterNightFixed,ExclusiveNightMeterFixed,SingleMeterVariableMeterFactor,SingleMeterVariableBalancingCost,DualMeterDayVariableMeterFactor,DualMeterDayVariableBalancingCost,DualMeterNightVariableMeterFactor,DualMeterNightVariableBalancingCost,ExclusiveNightMeterVariableMeterFactor,ExclusiveNightMeterVariableBalancingCost,DynamicMeterCost,DynamicBalancingCost,SingleMeterInjectionMeterFactor,SingleMeterInjectionBalancingCost,DualMeterDayInjectionMeterFactor,DualMeterDayInjectionBalancingCost,DualMeterNightInjectionMeterFactor,DualMeterNightInjectionBalancingCost,ExclusiveNightMeterInjectionMeterFactor,ExclusiveNightMeterInjectionBalancingCost,AdministrativeCosts,GreenElectricity,WKK
20240401,LUMINUS_DYNAMIC,,,,,"0,1034","0,0200","0,1034","0,0200","0,1034","0,0200","0,1034","0,0200",,,"0,0825","0,9550","0,0825","0,9550","0,0825","0,9550","0,0825","0,9550",,"1,21","0,42"
20240501,LUMINUS_DYNAMIC,,,,,"0,1054","1,1200","0,1054","1,1200","0,1054","1,1200","0,1054","1,1200",,,"0,0825","0,9550","0,0825","0,9550","0,0825","0,9550","0,0825","0,9550",,"1,21","0,42"
20240601,LUMINUS_DYNAMIC,,,,,"0,1054","1,1200","0,1054","1,1200","0,1054","1,1200","0,1054","1,1200",,,"0,0825","0,9550","0,0825","0,9550","0,0825","0,9550","0,0825","0,9550",,"1,21","0,42"
20240701,LUMINUS_DYNAMIC,,,,,"0,1054","1,1200","0,1054","1,1200","0,1054","1,1200","0,1054","1,1200",,,"0,0825","0,9550","0,0825","0,9550","0,0825","0,9550","0,0825","0,9550",,"1,21","0,42"
20240801,LUMINUS_DYNAMIC,,,,,"0,1054","1,1200","0,1054","1,1200","0,1054","1,1200","0,1054","1,1200",,,"0,0825","0,9550","0,0825","0,9550","0,0825","0,9550","0,0825","0,9550",,"1,21","0,42"
20240901,LUMINUS_DYNAMIC,,,,,"0,1054","1,1200","0,1054","1,1200","0,1054","1,1200","0,1054","1,1200",,,"0,0825","0,9550","0,0825","0,9550","0,0825","0,9550","0,0825","0,9550",,"1,21","0,42"
20241001,LUMINUS_DYNAMIC,,,,,"0,1054","1,1200","0,1054","1,1200","0,1054","1,1200","0,1054","1,1200",,,"0,0825","1,4950","0,0825","1,4950","0,0825","1,4950","0,0825","1,4950",,"1,21","0,42"
20241101,LUMINUS_DYNAMIC,,,,,"0,1054","1,1200","0,1054","1,1200","0,1054","1,1200","0,1054","1,1200",,,"0,0825","1,4950","0,0825","1,4950","0,0825","1,4950","0,0825","1,4950",,"1,21","0,42"
20241201,LUMINUS_DYNAMIC,,,,,"0,1026","1,9200","0,1026","1,9200","0,1026","1,9200","0,1026","1,9200",,,"0,0825","1,4950","0,0825","1,4950","0,0825","1,4950","0,0825","1,4950",,"1,21","0,42"
20250101,LUMINUS_DYNAMIC,,,,,"0,1054","1,9200","0,1054","1,9200","0,1054","1,9200","0,1054","1,9200",,,"0,0825","1,4950","0,0825","1,4950","0,0825","1,4950","0,0825","1,4950",,"1,18","0,42"
20250201,LUMINUS_DYNAMIC,,,,,"0,1054","1,9200","0,1054","1,9200","0,1054","1,9200","0,1054","1,9200",,,"0,0825","0,7790","0,0825","0,7790","0,0825","0,7790","0,0825","0,7790",,"1,18","0,42"
20250301,LUMINUS_DYNAMIC,,,,,"0,1054","1,9200","0,1054","1,9200","0,1054","1,9200","0,1054","1,9200",,,"0,0825","0,7790","0,0825","0,7790","0,0825","0,7790","0,0825","0,7790",,"1,18","0,42"
