DateKey;ContractKey;SingleMeterFixed;DualMeterDayFixed;DualMeterNightFixed;ExclusiveNightMeterFixed;SingleMeterVariableMeterFactor;SingleMeterVariableBalancingCost;DualMeterDayVariableMeterFactor;DualMeterDayVariableBalancingCost;DualMeterNightVariableMeterFactor;DualMeterNightVariableBalancingCost;ExclusiveNightMeterVariableMeterFactor;ExclusiveNightMeterVariableBalancingCost;DynamicMeterCost;DynamicBalancingCost;SingleMeterInjectionMeterFactor;SingleMeterInjectionBalancingCost;DualMeterDayInjectionMeterFactor;DualMeterDayInjectionBalancingCost;DualMeterNightInjectionMeterFactor;DualMeterNightInjectionBalancingCost;AdministrativeCosts;GreenElectricity;WKK
20230501;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;2.279;0.344
20230601;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;2.279;0.344
20230701;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;2.279;0.344
20230901;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.908;0.344
20231101;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.908;0.344
20231201;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.908;0.344
20240101;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.908;0.344
20240301;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
20240401;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
20240501;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
20240601;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
20240701;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
20240801;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
20240901;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
20241001;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
20241101;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
20241201;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
20250101;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
20250201;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
20250301;OCTAPLUS_DYNAMIC;;;;;;;;;;;;;1.038;3.93;;;;;;;75.0;1.166;0.43
