DateKey;ContractKey;SingleMeterFixed;DualMeterDayFixed;DualMeterNightFixed;ExclusiveNightMeterFixed;SingleMeterVariableMeterFactor;SingleMeterVariableBalancingCost;DualMeterDayVariableMeterFactor;DualMeterDayVariableBalancingCost;DualMeterNightVariableMeterFactor;DualMeterNightVariableBalancingCost;ExclusiveNightMeterVariableMeterFactor;ExclusiveNightMeterVariableBalancingCost;DynamicMeterCost;DynamicBalancingCost;SingleMeterInjectionMeterFactor;SingleMeterInjectionBalancingCost;DualMeterDayInjectionMeterFactor;DualMeterDayInjectionBalancingCost;DualMeterNightInjectionMeterFactor;DualMeterNightInjectionBalancingCost;AdministrativeCosts;GreenElectricity;WKK
20230101;OCTAPLUS_ECOCLEAR;35.02;39.62;30.45;32.09;1.127;19;1.284;19;0.971;19;1.027;19;;;0.7065;-2.2;0.7065;-2.2;0.7065;-2.2;130.0;2.233;0.344
20230201;OCTAPLUS_ECOCLEAR;18.10;20.35;15.88;16.68;1.127;19;1.284;19;0.971;19;1.027;19;;;0.7065;-2.2;0.7065;-2.2;0.7065;-2.2;130.0;2.233;0.344
20230301;OCTAPLUS_ECOCLEAR;19.44;21.86;17.03;17.89;1.127;19;1.284;19;0.971;19;1.027;19;;;0.7065;-2.2;0.7065;-2.2;0.7065;-2.2;130.0;2.279;0.344
20230401;OCTAPLUS_ECOCLEAR;15.47;17.34;13.60;14.27;1.127;19;1.284;19;0.971;19;1.027;19;;;0.7065;-2.2;0.7065;-2.2;0.7065;-2.2;130.0;2.279;0.344
20230501;OCTAPLUS_ECOCLEAR;14.78;16.37;13.21;13.77;1.127;19;1.284;19;0.971;19;1.027;19;;;0.7065;-2.2;0.7065;-2.2;0.7065;-2.2;130.0;2.279;0.344
20230601;OCTAPLUS_ECOCLEAR;11.64;12.83;10.45;10.88;1.127;19;1.267;19;0.988;19;1.038;19;;;0.915;19.83;0.915;19.83;0.915;19.83;130.0;2.279;0.344
20230701;OCTAPLUS_ECOCLEAR;13.16;14.54;11.78;12.28;1.127;19;1.267;19;0.988;19;1.038;19;;;0.915;19.83;0.915;19.83;0.915;19.83;130.0;2.279;0.344
20230801;OCTAPLUS_ECOCLEAR;11.07;12.19;9.95;10.35;1.127;19;1.267;19;0.988;19;1.038;19;;;0.915;19.83;0.915;19.83;0.915;19.83;130.0;2.279;0.344
20230901;OCTAPLUS_ECOCLEAR;13.14;14.52;11.77;12.26;1.127;19;1.267;19;0.988;19;1.038;19;;;0.915;19.83;0.915;19.83;0.915;19.83;130.0;1.908;0.344
20231001;OCTAPLUS_ECOCLEAR;13.62;15.06;12.19;12.71;1.127;19;1.267;19;0.988;19;1.038;19;;;0.915;19.83;0.915;19.83;0.915;19.83;130.0;1.908;0.344
