DateKey;ContractKey;SingleMeterFixed;DualMeterDayFixed;DualMeterNightFixed;ExclusiveNightMeterFixed;SingleMeterVariableMeterFactor;SingleMeterVariableBalancingCost;DualMeterDayVariableMeterFactor;DualMeterDayVariableBalancingCost;DualMeterNightVariableMeterFactor;DualMeterNightVariableBalancingCost;ExclusiveNightMeterVariableMeterFactor;ExclusiveNightMeterVariableBalancingCost;DynamicMeterCost;DynamicBalancingCost;SingleMeterInjectionMeterFactor;SingleMeterInjectionBalancingCost;DualMeterDayInjectionMeterFactor;DualMeterDayInjectionBalancingCost;DualMeterNightInjectionMeterFactor;DualMeterNightInjectionBalancingCost;AdministrativeCosts;GreenElectricity;WKK
20230101;OCTAPLUS_SMARTVARIABEL;34.74;39.45;30.08;31.75;1.15;10;1.311;10;0.991;10;1.048;10;;;0.7065;-2.2;0.7065;-2.2;0.7065;-2.2;65.0;2.233;0.344
20230201;OCTAPLUS_SMARTVARIABEL;17.48;19.78;15.21;16.02;1.15;10;1.311;10;0.991;10;1.048;10;;;0.7065;-2.2;0.7065;-2.2;0.7065;-2.2;65.0;2.233;0.344
20230301;OCTAPLUS_SMARTVARIABEL;18.84;21.33;16.38;17.26;1.15;10;1.311;10;0.991;10;1.048;10;;;0.7065;-2.2;0.7065;-2.2;0.7065;-2.2;65.0;2.279;0.344
20230401;OCTAPLUS_SMARTVARIABEL;14.79;16.71;12.89;13.57;1.15;10;1.311;10;0.991;10;1.048;10;;;0.7065;-2.2;0.7065;-2.2;0.7065;-2.2;65.0;2.279;0.344
20230501;OCTAPLUS_SMARTVARIABEL;14.09;15.67;12.51;13.08;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;2.279;0.344
20230701;OCTAPLUS_SMARTVARIABEL;11.73;13.03;10.43;10.90;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;61.32;2.15;0.325
20230901;OCTAPLUS_SMARTVARIABEL;12.41;13.79;11.04;11.53;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;2.279;0.344
20231001;OCTAPLUS_SMARTVARIABEL;12.90;14.35;11.47;11.99;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;1.908;0.344
20231101;OCTAPLUS_SMARTVARIABEL;12.06;13.40;10.73;11.21;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;1.908;0.344
20240201;OCTAPLUS_SMARTVARIABEL;10.30;11.43;9.18;9.58;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;61.32;1.1;0.406
20240301;OCTAPLUS_SMARTVARIABEL;8.76;9.69;7.83;8.16;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;1.166;0.43
20240501;OCTAPLUS_SMARTVARIABEL;7.02;7.74;6.30;6.56;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;1.166;0.43
20240601;OCTAPLUS_SMARTVARIABEL;7.75;8.57;6.94;7.23;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.166;0.43
20240701;OCTAPLUS_SMARTVARIABEL;8.39;9.28;7.50;7.82;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;1.166;0.43
20240801;OCTAPLUS_SMARTVARIABEL;7.78;8.60;6.97;7.26;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;1.166;0.43
20240901;OCTAPLUS_SMARTVARIABEL;9.21;10.20;8.23;8.58;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;1.166;0.43
20241001;OCTAPLUS_SMARTVARIABEL;9.42;10.43;8.41;8.77;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;1.166;0.43
20241101;OCTAPLUS_SMARTVARIABEL;11.04;12.26;9.84;10.27;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;1.166;0.43
20241201;OCTAPLUS_SMARTVARIABEL;14.73;16.39;13.08;13.67;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;1.166;0.43
20250101;OCTAPLUS_SMARTVARIABEL;14.32;15.93;12.72;13.29;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.166;0.43
20250201;OCTAPLUS_SMARTVARIABEL;15.12;16.84;13.42;14.04;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;;1.166;0.43
20250301;OCTAPLUS_SMARTVARIABEL;17.08;19.03;15.15;15.84;1.15;10;1.29;10;1.011;10;1.061;10;;;0.915;-19.83;0.915;-19.83;0.915;-19.83;65.0;1.166;0.43
