DateKey;ContractKey;SingleMeterFixed;DualMeterDayFixed;DualMeterNightFixed;ExclusiveNightMeterFixed;SingleMeterVariableMeterFactor;SingleMeterVariableBalancingCost;DualMeterDayVariableMeterFactor;DualMeterDayVariableBalancingCost;DualMeterNightVariableMeterFactor;DualMeterNightVariableBalancingCost;ExclusiveNightMeterVariableMeterFactor;ExclusiveNightMeterVariableBalancingCost;DynamicMeterCost;DynamicBalancingCost;SingleMeterInjectionMeterFactor;SingleMeterInjectionBalancingCost;DualMeterDayInjectionMeterFactor;DualMeterDayInjectionBalancingCost;DualMeterNightInjectionMeterFactor;DualMeterNightInjectionBalancingCost;AdministrativeCosts;GreenElectricity;WKK
20230101;14;40.7556;48.0495;33.9263;34.5059;;;;;;;;;;;;;;;;;65.7025;2.5091;
20230201;14;25.3214;28,9886;21.6723;22.4017;;;;;;;;;;;;;;;;;65.7025;2.5091;
20230301;14;25.1498;30.6285;22.0134;22.6198;;;;;;;;;;;;;;;;;65.7025;2.5091;
20230401;14;23.2693;27.122;20.9039;21.7153;;;;;;;;;;;;;;;;;65.7025;2.1557;
20230501;14;23.4453;27.2948;21.0851;22.3052;;;;;;;;;;;;;;;;;65.7025;2.4608;
20230601;14;20.3410;23.6295;18.3040;19.3082;;;;;;;;;;;;;;;;;65.6988;2.4608;
20230701;14;22.73;26.56;20.38;21.20;;;;;;;;;;;;;;;;;65.6988;2.1557;
20230801;14;22.73;26.56;20.38;21.20;;;;;;;;;;;;;;;;;165;2.1557;
20230901;14;;;;;0.1071;2.4;0.1213;3.5;0.0935;1.9;0.0971;2.76;;;;;;;;;90;2.2190;
20231001;14;;;;;0.1071;2.4;0.1215;3.5;0.0935;1.9;0.097;2.76;;;;;;;;;90;2.2190;
20231101;14;;;;;0.1071;2.36;0.121;3.46;0.094;1.86;0.098;2.76;;;;;;;;;90;2.2238;
20231201;14;;;;;0.1071;2.17;0.121;3.27;0.094;1.67;0.098;2.51;;;;;;;;;90;2.2238;
20240101;14;;;;;0.1073;2.12;0.1226;3.22;0.0935;1.62;0.0973;2.46;;;;;;;;;90;1.5638;
20240201;14;;;;;0.1074;2.03;0.122;3.13;0.0942;1.53;0.0994;2.37;;;;;;;;;90;1.5831;
20240301;14;;;;;0.1074;1.73;0.122;2.83;0.0944;1.23;0.0994;2.07;;;;;;;;;90;1.5831;
20240401;14;;;;;0.1074;1.73;0.122;2.83;0.0944;1.23;0.0994;2.07;;;;;;;;;90;1.5831;
20240501;14;;;;;0.1074;1.74;0.1199;2.84;0.0963;1.24;0.0994;2.08;;;;;;;;;90;1.58;
20240601;14;;;;;0.1071;1.63;0.1175;2.73;0.0978;1.13;0.1031;1.98;;;;;;;;;90;1.58;
20240701;14;;;;;0.1074;1.7;0.1192;2.8;0.0969;1.2;0.1022;2.04;;;;;;;;;90;1.58;
20240801;14;;;;;0.1071;1.7;0.1177;2.8;0.0975;1.2;0.1023;2.04;;;0.054;-0.7;0.054;-0.7;0.054;-0.7;90;1.58;
20240901;14;;;;;0.1071;1.65;0.1183;2.75;0.097;1.15;0.102;2;;;0.054;-0.7;0.054;-0.7;0.054;-0.7;90;1.58;
20241001;14;;;;;0.1088;1.68;0.1199;2.78;0.0987;1.18;0.1047;2;;;0.038;-0.625;0.038;-0.625;0.038;-0.625;90;1.58;
20241101;14;;;;;0.1093;1.68;0.1205;2.78;0.0993;1.18;0.1051;2;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;90;1.58;
20241201;14;;;;;0.1092;1.63;0.1193;2.73;0.1001;1.13;0.1061;1.93;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;90;1.58;
20250101;14;;;;;0.1084;1.73;0.1176;2.83;0.1002;1.23;0.1068;2.02;;;0.0376;-0.625;0.0376;-0.625;0.0376;-0.625;90;1.5831;
20250201;14;;;;;0.109;1.69;0.1194;2.79;0.0996;1.19;0.1024;1.99;;;0.271;-0.625;0.271;-0.625;0.271;-0.625;90;1.58;
20250301;14;;;;;0.1085;1.74;0.1219;2.84;0.0965;1.24;0.1009;2.03;;;0.271;-0.625;0.271;-0.625;0.271;-0.625;90;1.58;
