EnergyCostKey;DateKey;ContractKey;SingleMeterFixed;DualMeterDayFixed;DualMeterNightFixed;ExclusiveNightMeterFixed;SingleMeterVariableMeterFactor;SingleMeterVariableBalancingCost;DualMeterDayVariableMeterFactor;DualMeterDayVariableBalancingCost;DualMeterNightVariableMeterFactor;DualMeterNightVariableBalancingCost;ExclusiveNightMeterVariableMeterFactor;ExclusiveNightMeterVariableBalancingCost;DynamicMeterCost;DynamicBalancingCost;SingleMeterInjectionMeterFactor;SingleMeterInjectionBalancingCost;DualMeterDayInjectionMeterFactor;DualMeterDayInjectionBalancingCost;DualMeterNightInjectionMeterFactor;DualMeterNightInjectionBalancingCost;AdministrativeCosts;GreenElectricity;WKK
2023-01-01_DATS24_ELEKTRICITEIT;2023-01-01;DATS24_ELEKTRICITEIT;38.50;38.50;38.50;38.50;0.1084;0.697;0.1289;0.697;0.0982;0.697;0.0982;0.697;;;0.073;-0.38;;;;;;2.21;0.357
2023-02-01_DATS24_ELEKTRICITEIT;2023-02-01;DATS24_ELEKTRICITEIT;38.50;38.50;38.50;38.50;0.1117;0.807;0.1329;0.807;0.1012;0.807;0.1012;0.807;;;0.073;-0.38;;;;;75.00;2.233;0.356
2023-03-01_DATS24_ELEKTRICITEIT;2023-03-01;DATS24_ELEKTRICITEIT;;;;;0.1127;0.837;0.134;0.837;0.1021;0.837;0.1021;0.837;;;0.073;-0.38;;;;;75.00;1.87;0.356
2023-04-01_DATS24_ELEKTRICITEIT;2023-04-01;DATS24_ELEKTRICITEIT;38.50;38.50;38.50;38.50;0.1139;0.857;0.1355;0.857;0.1032;0.857;0.1032;0.857;;;0.073;-0.38;;;;;75.00;;
2023-05-01_DATS24_ELEKTRICITEIT;2023-05-01;DATS24_ELEKTRICITEIT;;;;;0.1139;0.857;0.1355;0.857;0.1032;0.857;0.1032;0.857;;;0.073;-0.38;;;;;75.00;;
2023-06-01_DATS24_ELEKTRICITEIT;2023-06-01;DATS24_ELEKTRICITEIT;38.50;38.50;38.50;38.50;0.1144;1.057;0.1361;1.057;0.1037;1.057;0.1037;1.057;;;0.073;-0.38;;;;;75.00;1.87;0.356
2023-07-01_DATS24_ELEKTRICITEIT;2023-07-01;DATS24_ELEKTRICITEIT;;;;;0.1144;1.157;0.1361;1.157;0.1037;1.157;0.1037;1.157;;;0.073;-0.38;;;;;75.00;1.870;0.356
2023-08-01_DATS24_ELEKTRICITEIT;2023-08-01;DATS24_ELEKTRICITEIT;;;;;0.1137;1.143;0.1352;1.143;0.1030;1.143;0.1030;1.143;;;0.073;-0.38;;;;;75.00;0;0
2023-09-01_DATS24_ELEKTRICITEIT;2023-09-01;DATS24_ELEKTRICITEIT;38.50;38.50;38.50;38.50;0.1137;1.143;0.1352;1.143;0.1030;1.143;0.1030;1.143;;;0.073;-0.38;;;;;75.00;;
2023-10-01_DATS24_ELEKTRICITEIT;2023-10-01;DATS24_ELEKTRICITEIT;;;;;0.1134;0.997;0.1270;0.997;0.1037;0.997;0.1037;0.997;;;0.073;-0.38;;;;;75.00;;
2023-11-01_DATS24_ELEKTRICITEIT;2023-11-01;DATS24_ELEKTRICITEIT;;;;;0.1134;0.997;0.127;0.997;0.1037;0.997;0.1037;0.997;;;0.073;-0.38;;;;;75.0;1.87;0.356
2023-12-01_DATS24_ELEKTRICITEIT;2023-12-01;DATS24_ELEKTRICITEIT;;;;;0.1141;0.997;0.1278;0.997;0.1043;0.997;0.1043;0.997;;;0.073;-0.38;;;;;75.00;1.87;0.356
