Van,Tot,Intercommunale,Capaciteitstarief_Digitale_meter,Afnametarief_Digitale_meter_Normaal,Afnametarief_Digitale_meter_Exclusief_nacht,Capaciteitstarief_Klassieke_meter,Afnametarief_Klassieke_meter_Normaal,Afnametarief_Klassieke_meter_Exclusief_nacht,Prosumententarief,Tarief_databeheer_Jaar_en_maandgelezen_meters,Tarief_databeheer_Kwartiergelezen_meters
01/01/2023,31/12/2023,Fluvius Antwerpen,40.0309,3.74193,2.60192,100.0746,5.70831,4.56830,38.56,13.39,14.53
01/01/2023,31/12/2023,Fluvius Limburg,37.6491,3.94475,2.81516,94.1280,6.08459,4.95500,41.11,13.39,14.53
01/01/2023,31/12/2023,Fluvius West,41.0824,3.81831,2.72467,102.7034,6.10955,5.01591,41.28,13.39,14.53
01/01/2023,31/12/2023,Gaselwest,48.7615,4.98204,3.36755,121.9000,7.40908,5.79459,50.05,13.39,14.53
01/01/2023,31/12/2023,Imewo,43.5071,4.01029,2.82576,108.7666,6.23503,5.05050,42.12,13.39,14.53
01/01/2023,31/12/2023,Intergem,39.0604,3.65582,2.59558,97.6472,5.76780,4.70756,38.97,13.39,14.53
01/01/2023,31/12/2023,Iveka,45.0292,4.21339,2.89091,112.5720,6.37959,5.05710,43.10,13.39,14.53
01/01/2023,31/12/2023,Iverlek,43.6742,3.88562,2.77610,109.1906,6.12534,5.01581,41.38,13.39,14.53
01/01/2023,31/12/2023,PBE,53.0580,3.64580,2.89941,132.6484,6.47113,5.72474,43.71,13.39,14.53
01/01/2023,31/12/2023,Sibelgas,48.1157,4.57544,3.22842,120.2888,6.93899,5.59198,46.87,13.39,14.53
01/01/2024,31/12/2024,Fluvius Antwerpen,40.2419,4.59244,3.40588,100.6046,6.78650,5.59994,45.85,13.95,15.14
01/01/2024,31/12/2024,Fluvius Limburg,41.3087,5.38613,4.02546,103.2758,7.97663,6.61596,53.89,13.95,15.14
01/01/2024,31/12/2024,Fluvius West,44.3052,4.82076,3.64424,110.7594,7.45668,6.28015,50.37,13.95,15.14
01/01/2024,31/12/2024,Gaselwest,46.0042,5.70838,4.16029,115.0100,8.47173,6.92364,57.23,13.95,15.14
01/01/2024,31/12/2024,Imewo,41.7713,4.71756,3.53433,104.4312,7.16627,5.98303,48.41,13.95,15.14
01/01/2024,31/12/2024,Intergem,37.2318,4.05034,3.07933,93.0786,6.42035,5.44933,43.38,13.95,15.14
01/01/2024,31/12/2024,Iveka,43.6951,4.63924,3.43638,109.2330,7.11737,5.91451,48.08,13.95,15.14
01/01/2024,31/12/2024,Iverlek,41.9261,4.58788,3.45855,104.8128,7.13518,6.00584,48.2,13.95,15.14
01/01/2024,31/12/2024,PBE,56.5930,4.71158,3.79846,141.4782,8.12849,7.21537,54.91,13.95,15.14
01/01/2024,31/12/2024,Sibelgas,46.5117,5.27163,3.96145,116.2820,7.87479,6.56461,53.2,13.95,15.14
01/01/2025,31/12/2025,Fluvius (Antwerpen),53.2565,5.99008,4.97793,133.1466,8.64814,7.63599,58.43,18.56,18.56
01/01/2025,31/12/2025,Fluvius (Limburg),51.8057192,6.79739,5.63359,129.5108,10.09205,8.92825,65.46,18.56,18.56
01/01/2025,31/12/2025,Fluvius (West),60.348344,7.46649,6.13985,150.8698,10.79441,9.46777,63.48,18.56,18.56
01/01/2025,31/12/2025,Fluvius (Imewo),56.4367744,6.24373,5.21055,141.0966,9.39683,8.36364,65.61,18.56,18.56
01/01/2025,31/12/2025,Fluvius (Midden-Vlaanderen),51.9851878,5.60719,4.72563,129.9666,8.84414,7.96258,68.18,18.56,18.56
01/01/2025,31/12/2025,Fluvius (Kempen),56.2986776,6.43857,5.33659,140.7468,9.71250,8.61053,59.75,18.56,18.56
01/01/2025,31/12/2025,Fluvius (Zenne-Dijle),59.1474806,6.42466,5.40730,147.87,9.92945,8.91210,72.92,18.56,18.56
01/01/2025,31/12/2025,Fluvius (Halle-Vilvoorde),59.5555806,6.20396,5.22782,148.8876,9.68844,8.71231,67.08,18.56,18.56
