Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
18/12/2024;0:00:00;18/12/2024;0:15:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;0:00:00;18/12/2024;0:15:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;0:15:00;18/12/2024;0:30:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;0:15:00;18/12/2024;0:30:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;0:30:00;18/12/2024;0:45:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;0:30:00;18/12/2024;0:45:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;0:45:00;18/12/2024;1:00:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;0:45:00;18/12/2024;1:00:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;1:00:00;18/12/2024;1:15:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;1:00:00;18/12/2024;1:15:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;1:15:00;18/12/2024;1:30:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;1:15:00;18/12/2024;1:30:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;1:30:00;18/12/2024;1:45:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;1:30:00;18/12/2024;1:45:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;1:45:00;18/12/2024;2:00:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;1:45:00;18/12/2024;2:00:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;2:00:00;18/12/2024;2:15:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;2:00:00;18/12/2024;2:15:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;2:15:00;18/12/2024;2:30:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;2:15:00;18/12/2024;2:30:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;2:30:00;18/12/2024;2:45:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;2:30:00;18/12/2024;2:45:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;2:45:00;18/12/2024;3:00:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;2:45:00;18/12/2024;3:00:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;3:00:00;18/12/2024;3:15:00;1302;;Digitale meter;Afname Nacht;;kWh;Geen verbruik;Hoofdverblijf
18/12/2024;3:00:00;18/12/2024;3:15:00;1302;;Digitale meter;Injectie Nacht;;kWh;Geen verbruik;Hoofdverblijf
