Van,Tot,Intercommunale,Transmissie,Capaciteitstarief_Digitale_meter,Afnametarief_Digitale_meter_Normaal,Afnametarief_Digitale_meter_Exclusief_nacht,Capaciteitstarief_Klassieke_meter,Afnametarief_Klassieke_meter_Normaal,Afnametarief_Klassieke_meter_Exclusief_nacht,Prosumententarief,Tarief_databeheer_Jaar_en_maandgelezen_meters,Tarief_databeheer_Kwartiergelezen_meters
01/01/2023,31/12/2023,Fluvius Antwerpen,0.3771268,40.03,3.3648004,2.2247916,100.07,5.3311852,4.1911764,38.56,13.39,14.53
01/01/2023,31/12/2023,Fluvius Limburg,0.3885748,37.65,3.5561728,2.4265838,94.13,5.696016,4.566427,41.11,13.39,14.53
01/01/2023,31/12/2023,Fluvius West,0.4025244,41.09,3.4157864,2.322142,102.70,5.7070294,4.613385,41.28,13.39,14.53
01/01/2023,31/12/2023,Gaselwest,0.4036162,48.76,4.5784262,2.9639296,121.90,7.0054658,5.3909692,50.05,13.39,14.53
01/01/2023,31/12/2023,Imewo,0.4286004,43.50,3.581687,2.3971582,108.77,5.8064256,4.6218968,42.12,13.39,14.53
01/01/2023,31/12/2023,Intergem,0.4014432,39.06,3.2543802,2.1941364,97.65,5.366356,4.3061122,38.97,13.39,14.53
01/01/2023,31/12/2023,Iveka,0.3490368,45.03,3.8643572,2.5418694,112.57,6.030552,4.7080642,43.1,13.39,14.53
01/01/2023,31/12/2023,Iverlek,0.419601,43.67,3.4660198,2.3564966,109.19,5.7057362,4.363013,41.38,13.39,14.53
01/01/2023,31/12/2023,PBE,0.4166118,53.05,3.229184,2.4827956,132.65,6.0545186,5.3081302,43.71,13.39,14.53
01/01/2023,31/12/2023,Sibelgas,0.4799468,48.11,4.0954902,2.748474,120.29,6.4590464,5.1120302,46.87,13.39,14.53
01/01/2024,31/12/2024,Fluvius Antwerpen,0.44791,40.2419,4.14453,2.95796,100.6,6.33859,5.15202,45.85,13.95,15.14
01/01/2024,31/12/2024,Fluvius Limburg,0.44667,41.3087,4.93945,3.57878,103.28,7.52995,6.16928,53.89,13.95,15.14
01/01/2024,31/12/2024,Fluvius West,0.45613,44.3052,4.36463,3.18811,110.76,7.00055,5.82402,50.37,13.95,15.14
01/01/2024,31/12/2024,Gaselwest,0.47788,46.0042,5.23050,3.68241,115.01,7.99385,6.44576,57.23,13.95,15.14
01/01/2024,31/12/2024,Imewo,0.50098,41.7713,4.21658,3.03335,104.43,6.66529,5.48206,48.41,13.95,15.14
01/01/2024,31/12/2024,Intergem,0.46185,37.2318,3.58849,2.61748,93.08,5.95849,4.98748,43.38,13.95,15.14
01/01/2024,31/12/2024,Iveka,0.36387,43.6951,4.27537,3.07252,109.23,6.75350,5.55065,48.08,13.95,15.14
01/01/2024,31/12/2024,Iverlek,0.49769,41.9261,4.09019,2.96086,104.81,6.63749,5.50815,48.2,13.95,15.14
01/01/2024,31/12/2024,PBE,0.47858,56.593,4.23300,3.31988,141.48,7.64991,6.73679,54.91,13.95,15.14
01/01/2024,31/12/2024,Sibelgas,0.60527,46.5117,4.66636,3.35618,116.28,7.26952,5.95934,53.2,13.95,15.14
01/01/2025,31/12/2025,Fluvius Antwerpen,53.2565412,5.99007,4.97793,133.1466,8.64813,7.63599,58.43,18.56,18.56,
01/01/2025,31/12/2025,Fluvius Limburg,51.8057192,6.79739,5.63359,129.5108,10.09205,8.92825,65.46,18.56,18.56
01/01/2025,31/12/2025,Fluvius West,60.348344,7.46649,6.13985,150.8698,10.79441,9.46777,63.48,18.56,18.56
01/01/2025,31/12/2025,Fluvius Imewo,56.4367744,6.24373,5.21055,141.0966,9.39683,8.36364,65.61,18.56,18.56
01/01/2025,31/12/2025,Fluvius Midden-Vlaanderen,51.9851878,5.60719,4.72563,129.9666,8.84414,7.96258,68.18,18.56,18.56
01/01/2025,31/12/2025,Fluvius Kempen,56.2986776,6.43857,5.33659,140.7468,9.71250,8.61053,59.75,18.56,18.56
01/01/2025,31/12/2025,Fluvius Zenne-Dijle,59.1474806,6.42466,5.40730,147.87,9.92945,8.91210,72.92,18.56,18.56
01/01/2025,31/12/2025,Fluvius Halle-Vilvoorde,59.5555806,6.20396,5.22782,148.8876,9.68844,8.71231,67.08,18.56,18.56
