DateKey,TimeKey,WeatherStationID,PrecipQuantity,TempAvg,TempMax,TempMin,TempGrassPt100Avg,TempSoilAvg,TempSoilAvg5cm,TempSoilAvg10cm,TempSoilAvg20cm,TempSoilAvg50cm,WindSpeed10m,WindSpeedAvg30m,WindGustsSpeed,HumidityRelShelterAvg,Pressure,SunDuration,ShortWaveFromSkyAvg,SunIntAvg
20250206,000000,6439,0.0,4.57,6.82,2.6,4.27,,4.16,4.12,4.07,4.54,3.08,,10.07,89.4,1039.39,32.0,36.19,14.87
20250206,000000,6414,0.0,4.25,6.46,1.28,3.37,3.0,3.7,3.76,2.65,4.88,3.58,,9.37,90.51,1037.06,41.42,37.81,16.38
20250206,000000,6438,0.0,4.39,6.14,2.16,4.22,4.14,4.4,4.37,4.04,5.07,2.61,,8.5,91.5,1040.5,134.58,27.3,72.66
20250206,000000,6447,0.0,3.84,5.72,2.34,3.77,3.48,3.31,3.31,3.43,4.17,,3.18,11.16,93.16,1027.08,21.42,21.92,9.26
20250206,000000,6459,0.03,3.17,4.8,2.2,3.1,,3.15,3.19,3.41,3.92,4.09,,10.86,96.32,1019.63,14.25,21.25,5.89
20250206,000000,6484,0.0,2.15,3.28,1.17,8.2,1.69,1.76,1.51,2.31,3.13,4.24,,13.73,86.43,997.34,0.0,26.78,1.5
20250206,000000,6418,0.0,5.32,6.04,3.81,,,,,,,5.17,,13.83,89.56,1039.38,135.75,,51.27
20250206,000000,6455,0.0,2.89,4.68,1.57,2.57,3.2,3.4,3.69,3.36,4.29,2.81,,11.37,90.49,1008.04,8.92,32.82,6.59
20250206,000000,6434,0.0,4.44,6.9,2.68,4.59,4.52,4.12,4.05,4.1,4.52,3.56,4.43,10.47,88.57,1038.5,83.25,41.11,30.05
20250206,000000,6464,0.0,3.9,6.24,0.55,3.54,3.79,3.88,3.9,3.84,4.78,2.14,,9.09,91.13,1038.03,17.25,35.33,8.02
20250206,000000,6472,0.0,2.11,3.91,0.57,2.13,2.19,1.85,1.89,2.08,3.02,4.04,5.02,12.57,91.98,1001.64,5.0,29.67,3.25
20250206,000000,6494,0.0,-0.57,-0.12,-1.19,0.41,-0.02,0.27,0.56,1.21,2.83,,,,97.81,956.09,0.0,18.28,1.98
20250206,000000,6477,0.0,4.12,6.27,2.43,3.63,3.63,3.78,3.92,2.89,4.71,3.09,,9.08,93.38,1035.15,16.25,24.39,7.38
20250207,000000,6459,0.06,2.89,4.5,2.1,2.4,,2.04,2.37,3.14,4.11,5.72,,11.35,79.62,1004.56,0.0,20.95,3.27
20250207,000000,6484,0.0,2.84,4.72,2.06,8.48,2.11,1.73,1.5,2.4,3.28,5.22,,12.99,75.67,983.79,35.08,46.82,11.37
20250207,000000,6439,0.09,4.01,5.19,3.07,2.62,,2.48,2.86,3.59,4.68,5.41,,13.61,78.65,1024.46,0.0,14.49,1.53
20250207,000000,6464,0.03,3.73,5.01,2.94,2.28,2.38,2.5,2.96,3.55,5.0,4.58,,12.06,79.1,1023.66,0.0,13.57,1.63
20250207,000000,6438,0.0,3.67,4.86,2.55,2.61,2.44,2.37,2.78,3.11,5.12,5.7,,13.09,79.29,1025.68,0.0,12.8,
20250207,000000,6434,0.0,3.78,4.91,2.38,2.41,2.95,2.36,2.87,3.55,4.73,5.92,7.73,12.51,78.37,1022.96,0.0,14.51,4.82
20250207,000000,6494,0.0,-0.98,0.19,-1.88,-0.33,-0.49,0.13,0.5,1.2,2.79,4.32,,13.67,86.66,943.04,27.92,29.79,9.5
20250207,000000,6418,0.0,4.05,4.84,3.4,,,,,,,9.7,,17.06,78.74,1023.85,0.0,,1.43
20250207,000000,6447,0.0,3.36,4.72,2.54,2.81,2.49,2.26,2.7,3.32,4.37,,4.74,13.43,80.27,1011.81,0.0,18.65,3.08
20250207,000000,6455,0.0,3.39,5.14,1.87,2.42,2.81,3.16,3.61,3.25,4.47,3.34,,10.46,76.36,993.03,29.08,30.08,10.62
20250207,000000,6414,0.09,3.54,4.52,2.19,2.27,1.54,2.46,2.8,2.27,4.96,5.55,,12.1,81.18,1021.09,0.0,12.12,1.54
20250207,000000,6477,0.0,4.0,5.2,3.07,3.23,2.45,2.69,3.1,2.51,4.9,5.29,,13.55,77.55,1020.82,0.0,18.38,1.86
20250207,000000,6472,0.0,2.59,3.69,1.62,2.2,2.28,1.41,1.7,2.18,3.25,6.37,7.75,13.93,72.76,987.31,23.25,30.06,7.17
20250208,000000,6438,0.16,6.42,12.89,2.81,5.18,5.96,5.33,4.84,4.01,4.89,2.62,,7.57,78.16,1020.45,193.08,62.24,84.02
20250208,000000,6439,0.12,6.77,12.73,3.14,5.21,,5.47,5.05,4.43,4.57,2.28,,7.1,78.37,1019.66,240.67,68.16,92.45
20250208,000000,6455,0.06,6.4,10.96,3.54,6.34,6.71,5.78,4.88,4.05,4.52,3.13,,10.53,73.74,990.89,295.76,91.93,142.3
20250208,000000,6414,0.21,5.14,8.48,2.82,4.51,3.74,4.31,4.2,2.69,4.85,2.87,,7.45,84.99,1016.86,52.58,33.71,19.05
20250208,000000,6464,0.07,5.86,12.2,1.16,4.92,5.35,4.68,4.44,4.12,4.9,2.52,,7.18,76.28,1018.54,278.25,67.45,98.05
20250208,000000,6477,0.0,6.13,12.58,1.64,5.3,5.26,4.67,4.35,2.92,4.83,2.28,,7.92,74.27,1016.32,250.42,74.47,104.1
20250208,000000,6447,0.12,6.81,12.27,2.96,6.9,6.12,5.13,4.59,4.08,4.36,,3.56,10.51,77.14,1007.85,222.83,71.52,108.95
20250208,000000,6494,0.0,3.34,8.13,-1.34,1.25,1.09,0.58,0.76,1.22,2.75,3.28,,11.28,65.74,940.91,167.92,61.66,59.07
20250208,000000,6459,0.0,6.49,11.35,3.13,6.41,,4.83,4.25,3.74,4.07,3.88,,11.08,72.0,1001.14,269.25,82.64,114.1
20250208,000000,6418,0.7,5.53,8.52,3.39,,,,,,,4.46,,10.97,80.81,1018.66,73.58,,23.94
20250208,000000,6484,0.0,4.29,8.63,2.18,12.21,3.93,3.35,2.67,3.05,3.39,2.56,,8.1,76.89,982.28,81.42,59.56,21.41
20250208,000000,6434,0.19,5.72,10.77,2.41,5.2,5.47,4.6,4.19,3.99,4.52,2.75,3.5,9.08,82.22,1018.62,120.5,49.94,54.38
20250208,000000,6472,0.0,6.51,10.79,2.59,5.94,6.05,4.05,3.53,3.14,3.37,4.42,5.74,13.98,62.7,984.87,278.42,84.15,125.65
